Bldg City,Bldg State,Bldg Status,Construction Date,Historical Status,Number of Records,Owned/Leased,Property Type,Total Parking Spaces
PHILADELPHIA,PA,ACTIVE,11/11/1111,Not Evaluated,1,OWNED,BUILDING,0
OGDENSBURG,NY,ACTIVE,1/1/1809,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1820,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1824,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1828,National Historic Landmark,1,OWNED,BUILDING,0
NEW BEDFORD,MA,ACTIVE,1/1/1836,National Historic Landmark,1,OWNED,BUILDING,6
WASHINGTON,DC,ACTIVE,1/1/1842,National Historic Landmark,1,OWNED,BUILDING,40
WASHINGTON,DC,ACTIVE,1/1/1843,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1848,National Register Listed,1,OWNED,BUILDING,0
SAVANNAH,GA,ACTIVE,1/1/1852,National Historic Landmark,1,OWNED,BUILDING,14
WASHINGTON,DC,ACTIVE,1/1/1852,National Historic Landmark,1,OWNED,LAND,0
NATCHEZ,MS,ACTIVE,6/1/1853,National Register Listed,1,OWNED,BUILDING,4
WASHINGTON,DC,ACTIVE,1/1/1856,National Historic Landmark,1,OWNED,BUILDING,0
RICHMOND,VA,ACTIVE,1/1/1858,National Register Listed,1,OWNED,BUILDING,14
WASHINGTON,DC,ACTIVE,1/1/1859,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1859,National Historic Landmark,1,OWNED,BUILDING,0
NORFOLK,VA,ACTIVE,1/1/1859,National Register Listed,1,OWNED,BUILDING,45
WASHINGTON,DC,ACTIVE,1/1/1861,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1868,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1869,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1869,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1869,National Historic Landmark,1,OWNED,BUILDING,0
PORTLAND,ME,ACTIVE,1/1/1871,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1874,National Historic Landmark,1,OWNED,BUILDING,0
PORTLAND,OR,ACTIVE,1/1/1875,National Historic Landmark,1,OWNED,BUILDING,5
OAKLAND,CA,ACTIVE,1/1/1876,National Register Eligible,1,LEASED,BUILDING,0
PORT HURON,MI,ACTIVE,1/1/1877,National Register Listed,1,OWNED,BUILDING,13
WASHINGTON,DC,ACTIVE,1/1/1878,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1878,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1878,National Historic Landmark,1,OWNED,BUILDING,0
RALEIGH,NC,ACTIVE,1/1/1878,National Register Listed,1,OWNED,BUILDING,7
WASHINGTON,DC,ACTIVE,1/1/1879,National Historic Landmark,1,OWNED,BUILDING,0
CHARLESTON,SC,ACTIVE,1/1/1879,National Historic Landmark,1,OWNED,BUILDING,72
EVANSVILLE,IN,ACTIVE,1/10/1879,Not Evaluated,1,LEASED,BUILDING,3
WASHINGTON,DC,ACTIVE,1/1/1880,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1880,National Register Listed,1,OWNED,BUILDING,35
BATTLE CREEK,MI,ACTIVE,1/1/1880,National Register Listed,1,OWNED,BUILDING,0
NEW ORLEANS,LA,ACTIVE,1/1/1881,National Historic Landmark,1,OWNED,BUILDING,5
LITTLE ROCK,AR,ACTIVE,1/1/1881,National Register Listed,1,OWNED,BUILDING,12
WASHINGTON,DC,ACTIVE,1/1/1882,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1882,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1883,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1883,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1885,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1885,National Historic Landmark,1,OWNED,BUILDING,73
BATTLE CREEK,MI,ACTIVE,1/1/1886,National Register Listed,1,OWNED,STRUCTURE,0
WASHINGTON,DC,ACTIVE,1/1/1888,National Historic Landmark,1,OWNED,BUILDING,46
CHICAGO,IL,ACTIVE,6/1/1888,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1889,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1890,National Historic Landmark,1,OWNED,BUILDING,0
BEMIDJI,MN,ACTIVE,3/9/1890,National Register Listed,1,LEASED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1891,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1892,National Historic Landmark,1,OWNED,BUILDING,0
NEW YORK-KINGS,NY,ACTIVE,1/1/1892,National Register Listed,1,OWNED,BUILDING,16
EASTPORT,ME,ACTIVE,1/1/1893,Not Evaluated,1,LEASED,BUILDING,1
WASHINGTON,DC,ACTIVE,1/1/1893,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1893,National Historic Landmark,1,OWNED,BUILDING,0
VICKSBURG,MS,ACTIVE,1/1/1894,National Register Listed,1,OWNED,BUILDING,26
SIOUX FALLS,SD,ACTIVE,1/1/1895,National Register Listed,1,OWNED,BUILDING,58
BUFFALO,NY,ACTIVE,7/21/1895,Not Evaluated,1,LEASED,BUILDING,7
CHARLESTON,SC,ACTIVE,1/1/1896,National Historic Landmark,1,OWNED,BUILDING,0
ERIE,PA,ACTIVE,1/1/1898,National Register Listed,1,OWNED,BUILDING,0
STOCKTON,CA,ACTIVE,1/1/1899,Not Evaluated,1,LEASED,BUILDING,11
WASHINGTON,DC,ACTIVE,1/1/1899,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1899,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1899,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1899,National Historic Landmark,1,OWNED,BUILDING,0
SAVANNAH,GA,ACTIVE,1/1/1899,National Historic Landmark,1,OWNED,BUILDING,17
WASHINGTON,DC,ACTIVE,1/1/1899,National Register Listed,1,OWNED,BUILDING,8
SANTA FE,NM,ACTIVE,1/1/1899,National Register Listed,1,OWNED,BUILDING,25
MILWAUKEE,WI,ACTIVE,1/1/1899,National Register Listed,1,OWNED,BUILDING,28
WASHINGTON,DC,ACTIVE,1/1/1899,Evaluated - Not Historic,1,OWNED,LAND,0
SACRAMENTO,CA,ACTIVE,1/1/1900,National Register Listed,1,LEASED,BUILDING,4
KANSAS CITY,MO,ACTIVE,1/1/1900,National Register Listed,1,LEASED,BUILDING,6
CHICAGO,IL,ACTIVE,1/1/1900,Not Evaluated,1,LEASED,BUILDING,5
WASHINGTON,DC,ACTIVE,1/1/1900,National Historic Landmark,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1900,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1900,National Register Eligible,1,OWNED,STRUCTURE,328
ABILENE,TX,ACTIVE,1/1/1901,National Register Listed,1,LEASED,BUILDING,4
WASHINGTON,DC,ACTIVE,1/1/1901,National Historic Landmark,1,OWNED,BUILDING,0
PIERRE,SD,ACTIVE,10/1/1901,Not Evaluated,1,LEASED,BUILDING,1
BUFFALO,NY,ACTIVE,1/1/1902,Not Evaluated,1,LEASED,BUILDING,11
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1902,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1902,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1902,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1902,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1902,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1902,National Register Listed,1,OWNED,BUILDING,920
WASHINGTON,DC,ACTIVE,1/1/1902,Non-Contributing Element,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1902,National Historic Landmark,1,OWNED,STRUCTURE,0
EUREKA,CA,ACTIVE,1/1/1903,National Register Eligible,1,LEASED,BUILDING,3
PERTH AMBOY,NJ,ACTIVE,1/1/1903,Not Evaluated,1,LEASED,BUILDING,1
WASHINGTON,DC,ACTIVE,1/1/1903,National Historic Landmark,1,OWNED,BUILDING,0
FERGUS FALLS,MN,ACTIVE,1/1/1903,National Register Listed,1,OWNED,BUILDING,10
BUTTE,MT,ACTIVE,1/1/1904,National Historic Landmark,1,OWNED,BUILDING,30
DURHAM,NC,ACTIVE,1/1/1905,National Register Listed,1,LEASED,BUILDING,2
INDIANAPOLIS,IN,ACTIVE,1/1/1905,National Register Listed,1,OWNED,BUILDING,77
SALT LAKE CITY,UT,ACTIVE,1/1/1905,National Register Listed,1,OWNED,BUILDING,20
SAN FRANCISCO,CA,ACTIVE,8/29/1905,National Historic Landmark,1,OWNED,BUILDING,38
ANNISTON,AL,ACTIVE,1/1/1906,National Register Listed,1,OWNED,BUILDING,10
ELIZABETH CITY,NC,ACTIVE,1/1/1906,National Register Listed,1,OWNED,BUILDING,25
GRAND FORKS,ND,ACTIVE,1/1/1906,National Register Listed,1,OWNED,BUILDING,17
NEW YORK-MANHATTAN,NY,ACTIVE,1/1/1907,National Historic Landmark,1,OWNED,BUILDING,10
BALTIMORE,MD,ACTIVE,1/1/1907,National Register Listed,1,OWNED,BUILDING,121
SHERMAN,TX,ACTIVE,1/1/1907,National Register Listed,1,OWNED,BUILDING,22
HUNTINGTON,WV,ACTIVE,1/1/1907,National Register Listed,1,OWNED,BUILDING,32
WASHINGTON,DC,ACTIVE,1/1/1908,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1908,National Register Listed,1,OWNED,BUILDING,16
MACON,GA,ACTIVE,1/1/1908,National Register Listed,1,OWNED,BUILDING,25
PROVIDENCE,RI,ACTIVE,1/1/1908,National Register Listed,1,OWNED,BUILDING,23
SELMA,AL,ACTIVE,1/1/1909,National Register Listed,1,OWNED,BUILDING,23
SPOKANE,WA,ACTIVE,1/1/1909,National Register Listed,1,OWNED,BUILDING,7
EAU CLAIRE,WI,ACTIVE,1/1/1909,National Register Listed,1,OWNED,BUILDING,31
CHATTANOOGA,TN,ACTIVE,12/1/1909,National Register Listed,1,LEASED,BUILDING,34
WASHINGTON,DC,ACTIVE,1/1/1910,National Historic Landmark,1,OWNED,BUILDING,0
ATLANTA,GA,ACTIVE,1/1/1910,National Historic Landmark,1,OWNED,BUILDING,10
WASHINGTON,DC,ACTIVE,1/1/1910,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1910,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1910,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1910,National Register Eligible,1,OWNED,BUILDING,4
GADSDEN,AL,ACTIVE,1/1/1910,National Register Listed,1,OWNED,BUILDING,14
WASHINGTON,DC,ACTIVE,1/1/1910,National Register Listed,1,OWNED,BUILDING,18
GAINESVILLE,GA,ACTIVE,1/1/1910,National Register Listed,1,OWNED,BUILDING,8
EAST ST LOUIS,IL,ACTIVE,1/1/1910,National Register Listed,1,OWNED,BUILDING,31
LONDON,KY,ACTIVE,1/1/1910,National Register Listed,1,OWNED,BUILDING,0
CLEVELAND,OH,ACTIVE,1/1/1910,National Register Listed,1,OWNED,BUILDING,13
WASHINGTON,DC,ACTIVE,1/1/1910,Not Evaluated,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1910,Not Evaluated,1,OWNED,BUILDING,0
GRAND ISLAND,NE,EXCESS,1/1/1910,National Register Listed,1,OWNED,BUILDING,19
EL PASO,TX,ACTIVE,3/11/1910,National Register Listed,1,LEASED,BUILDING,69
ATLANTA,GA,ACTIVE,9/1/1910,National Register Listed,1,OWNED,BUILDING,21
TACOMA,WA,ACTIVE,1/1/1911,National Register Listed,1,LEASED,BUILDING,27
WHEELING,WV,ACTIVE,1/1/1911,National Register Listed,1,LEASED,BUILDING,2
WILLIMANTIC,CT,ACTIVE,1/1/1911,Not Evaluated,1,LEASED,BUILDING,0
DOTHAN,AL,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,8
SAN FRANCISCO,CA,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,11
WASHINGTON,DC,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,5
OWENSBORO,KY,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,18
PORTLAND,ME,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,16
HOUSTON,TX,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,17
SAN ANGELO,TX,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,20
BLUEFIELD,WV,ACTIVE,1/1/1911,National Register Listed,1,OWNED,BUILDING,9
CURTIS BAY,MD,DECOMMISSIONED,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
DANVILLE,IL,EXCESS,1/1/1911,National Register Eligible,1,OWNED,BUILDING,21
NASHVILLE,TN,ACTIVE,4/15/1911,Not Evaluated,1,LEASED,BUILDING,5
CHICAGO,IL,ACTIVE,6/1/1911,Evaluated - Not Historic,1,OWNED,BUILDING,0
OAKLAND,CA,ACTIVE,1/1/1912,National Register Listed,1,LEASED,BUILDING,10
SAN FRANCISCO,CA,ACTIVE,1/1/1912,National Register Listed,1,LEASED,BUILDING,9
FAYETTEVILLE,NC,ACTIVE,1/1/1912,Not Evaluated,1,LEASED,BUILDING,10
BUFFALO,NY,ACTIVE,1/1/1912,Not Evaluated,1,LEASED,BUILDING,114
CHICAGO,IL,ACTIVE,1/1/1912,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1912,National Register Listed,1,OWNED,BUILDING,0
OKLAHOMA CITY,OK,ACTIVE,1/1/1912,National Register Listed,1,OWNED,BUILDING,0
YAKIMA,WA,ACTIVE,1/1/1912,National Register Listed,1,OWNED,BUILDING,62
WASHINGTON,DC,ACTIVE,10/1/1912,National Register Listed,1,LEASED,BUILDING,237
FLORENCE,AL,ACTIVE,1/1/1913,National Register Listed,1,LEASED,BUILDING,0
SAN DIEGO,CA,ACTIVE,1/1/1913,National Register Listed,1,OWNED,BUILDING,62
BOWLING GREEN,KY,ACTIVE,1/1/1913,National Register Listed,1,OWNED,BUILDING,19
MISSOULA,MT,ACTIVE,1/1/1913,National Register Listed,1,OWNED,BUILDING,11
BISMARCK,ND,ACTIVE,1/1/1913,National Register Listed,1,OWNED,BUILDING,10
BIG STONE GAP,VA,ACTIVE,1/1/1913,National Register Listed,1,OWNED,BUILDING,7
CHICAGO,IL,ACTIVE,6/1/1913,National Register Listed,1,OWNED,BUILDING,0
SAN FRANCISCO,CA,ACTIVE,6/1/1913,Not Evaluated,1,OWNED,BUILDING,0
PHOENIX,AZ,ACTIVE,1/1/1914,National Register Eligible,1,LEASED,BUILDING,46
BILLINGS,MT,ACTIVE,1/1/1914,National Register Listed,1,LEASED,BUILDING,2
MARSHALL,TX,ACTIVE,1/1/1914,National Register Listed,1,OWNED,BUILDING,2
WHEELING,WV,ACTIVE,1/1/1914,National Register Listed,1,OWNED,BUILDING,0
MCALESTER,OK,EXCESS,1/1/1914,National Register Listed,1,OWNED,BUILDING,14
NEW ORLEANS,LA,ACTIVE,1/1/1915,National Historic Landmark,1,OWNED,BUILDING,67
MINNEAPOLIS,MN,ACTIVE,1/1/1915,National Register Listed,1,OWNED,BUILDING,61
GREENVILLE,NC,ACTIVE,1/1/1915,National Register Listed,1,OWNED,BUILDING,13
MINOT,ND,ACTIVE,1/1/1915,National Register Listed,1,OWNED,BUILDING,13
MUSKOGEE,OK,ACTIVE,1/1/1915,National Register Listed,1,OWNED,BUILDING,46
CHICAGO,IL,ACTIVE,6/1/1915,National Register Listed,1,OWNED,BUILDING,0
FRESNO,CA,ACTIVE,1/1/1916,National Register Eligible,1,LEASED,BUILDING,128
PENDLETON,OR,ACTIVE,1/1/1916,National Register Listed,1,LEASED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1916,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1916,National Register Eligible,1,OWNED,BUILDING,0
DENVER,CO,ACTIVE,1/1/1916,National Register Listed,1,OWNED,BUILDING,0
AUGUSTA,GA,ACTIVE,1/1/1916,National Register Listed,1,OWNED,BUILDING,19
MEDFORD,OR,ACTIVE,1/1/1916,National Register Listed,1,OWNED,BUILDING,12
COOKEVILLE,TN,ACTIVE,1/1/1916,National Register Listed,1,OWNED,BUILDING,27
WASHINGTON,DC,ACTIVE,1/1/1916,Non-Contributing Element,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1916,National Register Eligible,1,OWNED,LAND,1094
BILLINGS,MT,ACTIVE,1/1/1917,Not Evaluated,1,LEASED,BUILDING,2
BRATTLEBORO,VT,ACTIVE,1/1/1917,Not Evaluated,1,LEASED,BUILDING,3
WASHINGTON,DC,ACTIVE,1/1/1917,National Register Listed,1,OWNED,BUILDING,87
LAWTON,OK,ACTIVE,1/1/1917,National Register Listed,1,OWNED,BUILDING,41
TULSA,OK,ACTIVE,1/1/1917,National Register Listed,1,OWNED,BUILDING,73
CURTIS BAY,MD,DECOMMISSIONED,1/1/1917,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1917,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1917,Evaluated - Not Historic,1,OWNED,BUILDING,0
CURTIS BAY,MD,EXCESS,1/1/1917,Evaluated - Not Historic,1,OWNED,BUILDING,0
CHARLOTTE,NC,ACTIVE,1/1/1918,National Register Listed,1,LEASED,BUILDING,78
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,0
BOSTON,MA,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,BUILDING,3
OPELIKA,AL,ACTIVE,1/1/1918,National Register Listed,1,OWNED,BUILDING,14
GRAND JUNCTION,CO,ACTIVE,1/1/1918,National Register Listed,1,OWNED,BUILDING,26
WASHINGTON,DC,ACTIVE,1/1/1918,Not Evaluated,1,OWNED,BUILDING,62
JEFFERSONVILLE,IN,ACTIVE,1/1/1918,Evaluated - Not Historic,1,OWNED,STRUCTURE,0
NEWPORT,RI,ACTIVE,1/1/1919,Not Evaluated,1,LEASED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1919,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1919,National Register Eligible,1,OWNED,BUILDING,51
NEW HAVEN,CT,ACTIVE,1/1/1919,National Register Listed,1,OWNED,BUILDING,0
WILMINGTON,NC,ACTIVE,1/1/1919,National Register Listed,1,OWNED,BUILDING,24
LOUISVILLE,KY,ACTIVE,4/23/1919,Not Evaluated,1,LEASED,BUILDING,8
SALISBURY,MD,ACTIVE,1/1/1920,National Register Eligible,1,LEASED,BUILDING,3
NEWARK,NJ,ACTIVE,1/1/1920,National Register Listed,1,OWNED,BUILDING,0
PORTLAND,OR,ACTIVE,6/1/1920,Not Evaluated,1,LEASED,BUILDING,20
CHICAGO,IL,ACTIVE,6/1/1920,Evaluated - Not Historic,1,OWNED,BUILDING,0
FREDERICK,MD,ACTIVE,9/12/1920,National Register Listed,1,LEASED,BUILDING,30
BIRMINGHAM,AL,ACTIVE,1/1/1921,National Register Listed,1,OWNED,BUILDING,16
BATTLE CREEK,MI,ACTIVE,1/1/1921,National Register Listed,1,OWNED,STRUCTURE,0
CUMBERLAND,MD,ACTIVE,11/7/1921,National Register Listed,1,LEASED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1922,Not Evaluated,1,LEASED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1923,Not Evaluated,1,LEASED,BUILDING,0
CHICAGO,IL,ACTIVE,1/1/1923,National Register Eligible,1,OWNED,BUILDING,0
GULFPORT,MS,ACTIVE,1/1/1923,National Register Eligible,1,OWNED,BUILDING,34
PHILADELPHIA,PA,ACTIVE,12/1/1923,National Register Eligible,1,LEASED,BUILDING,36
SAN FRANCISCO,CA,ACTIVE,1/1/1924,National Register Eligible,1,LEASED,BUILDING,2
SHAWNEE,OK,ACTIVE,1/1/1924,Not Evaluated,1,LEASED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,Evaluated - Not Historic,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,National Historic Landmark,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1924,National Register Eligible,1,OWNED,BUILDING,0
ARCATA,CA,ACTIVE,1/1/1925,National Register Eligible,1,LEASED,BUILDING,6
PHILADELPHIA,PA,ACTIVE,1/1/1925,Not Evaluated,1,LEASED,BUILDING,58
SALISBURY,MD,ACTIVE,1/1/1925,National Register Eligible,1,OWNED,BUILDING,6
DALLAS,TX,ACTIVE,1/1/1925,National Register Listed,1,OWNED,BUILDING,0
PLAINS,GA,ACTIVE,3/15/1925,National Register Listed,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1926,National Historic Landmark,1,OWNED,BUILDING,0
FORT WORTH,TX,ACTIVE,1/1/1928,Not Evaluated,1,LEASED,BUILDING,35
PHILADELPHIA,PA,ACTIVE,1/1/1928,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1928,National Register Listed,1,OWNED,BUILDING,40
BATTLE CREEK,MI,ACTIVE,1/1/1928,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1928,National Register Listed,1,OWNED,BUILDING,0
BATTLE CREEK,MI,ACTIVE,1/1/1928,National Register Listed,1,OWNED,BUILDING,4
BATTLE CREEK,MI,ACTIVE,1/1/1928,National Register Listed,1,OWNED,BUILDING,173
UTICA,NY,ACTIVE,1/1/1928,National Register Listed,1,OWNED,BUILDING,34
DURANT,OK,ACTIVE,1/5/1928,National Register Listed,1,LEASED,BUILDING,3
JOLIET,IL,ACTIVE,12/1/1928,Not Evaluated,1,LEASED,BUILDING,7
EUREKA,CA,ACTIVE,1/1/1929,National Register Eligible,1,LEASED,BUILDING,1
CEDAR RAPIDS,IA,ACTIVE,1/1/1929,Not Evaluated,1,LEASED,BUILDING,2
NEW YORK-QUEENS,NY,ACTIVE,1/1/1929,Not Evaluated,1,LEASED,BUILDING,5
WASHINGTON,DC,ACTIVE,1/1/1929,National Register Eligible,1,OWNED,BUILDING,0
WASHINGTON,DC,ACTIVE,1/1/1929,National Register Eligible,1,OWNED,BUILDING,0
NEW YORK-MANHATTAN,NY,ACTIVE,1/1/1929,National Register Eligible,1,OWNED,BUILDING,31
DES MOINES,IA,ACTIVE,1/1/1929,National Register Listed,1,OWNED,BUILDING,75
PHILADELPHIA,PA,ACTIVE,11/15/1929,National Register Listed,1,LEASED,BUILDING,1
BURBANK,CA,ACTIVE,1/1/1930,National Register Eligible,1,LEASED,BUILDING,40
MILWAUKEE,WI,ACTIVE,1/1/1930,Not Evaluated,1,LEASED,BUILDING,6
DALLAS,TX,ACTIVE,1/1/1930,National Historic Landmark,1,OWNED,BUILDING,96
NOGALES,AZ,ACTIVE,1/1/1930,National Register Eligible,1,OWNED,BUILDING,0
TUCSON,AZ,ACTIVE,1/1/1930,National Register Listed,1,OWNED,BUILDING,5
SPRINGFIELD,IL,ACTIVE,1/1/1930,National Register Listed,1,OWNED,BUILDING,43
DULUTH,MN,ACTIVE,1/1/1930,National Register Listed,1,OWNED,BUILDING,56
ASHEVILLE,NC,ACTIVE,1/1/1930,National Register Listed,1,OWNED,BUILDING,0
SPOKANE,WA,ACTIVE,3/1/1930,National Register Listed,1,LEASED,BUILDING,26
NEWARK,NJ,ACTIVE,3/1/1930,Not Evaluated,1,LEASED,BUILDING,0
EL DORADO,AR,ACTIVE,1/1/1931,National Register Listed,1,LEASED,BUILDING,11
PRESCOTT,AZ,ACTIVE,1/1/1931,National Register Listed,1,LEASED,BUILDING,5
SCRANTON,PA,ACTIVE,1/1/1931,National Register Eligible,1,OWNED,BUILDING,18
